key,name,address,district,mapped_region_id,lat,lng
㈜ 아이체험교육여행,㈜ 아이체험교육여행,전북특별자치도 군산시 구영6길 133-3,군산시,jeonbuk,35.9895137,126.711486
(주) 캐플릭스,(주) 캐플릭스,서울특별시 영등포구 선유로 103,영등포구,seoul,37.523263,126.8899409
㈜메쎄이상,㈜메쎄이상,서울특별시 마포구 월드컵북로58길 9,마포구,seoul,37.5820411,126.887077
㈜볼베어파크 천안점,㈜볼베어파크 천안점,충남 천안시 동남구 옛시청길 29 힐스테이트 천안 1층,천안시,chungnam,36.807527,127.1505392
(주)송운개발,(주)송운개발,경기도 용인시 처인구 지삼로 470,용인시,gyeonggi,37.2343,127.1615
(주)에버랜드,(주)에버랜드,경기 용인시 처인구 포곡읍 에버랜드로 199,용인시,gyeonggi,37.2905806,127.1980257
［경복궁］ 해와달 한복,［경복궁］ 해와달 한복,서울특별시 종로구 사직로 127-14 다자연빌딩 3층 해와달한복,종로구,seoul,37.576213,126.9731568
［곤지암］ 청춘스키,［곤지암］ 청춘스키,경기 광주시 도척면 도척윗로 278,광주시,gyeonggi,37.3375588747099,127.296189047378
［광주］곡성 기차마을 패러글라이딩,［광주］곡성 기차마을 패러글라이딩,전라남도 곡성군 오곡면 기차마을로 252-16,곡성군,jeonnam,35.2812731,127.3065996
［군산］ 패러글라이딩2인승체험비행,［군산］ 패러글라이딩2인승체험비행,정보 없음,,,0,0
［단양］ 스카이랜드,［단양］ 스카이랜드,충청북도 단양군 단양읍 수변로 65 1층,단양군,chungbuk,36.9812481,128.3706213
［대구］ 이월드,［대구］ 이월드,대구 달서구 두류공원로 200 이월드,달서구,daegu,35.8530292,128.5657599
［대천］대천서바이벌게임,［대천］대천서바이벌게임,충청남도 보령시 새마을1길 4 지하1층(바다로마트지하),보령시,chungnam,36.3073013,126.5196447
［부산 해운대］ 부산 요트투어 아이러브유요트,［부산 해운대］ 부산 요트투어 아이러브유요트,부산광역시 해운대구 해운대해변로 84,해운대구,busan,35.1594861,129.1390394
［부산］ 해운대 요트G 퍼블릭투어,［부산］ 해운대 요트G 퍼블릭투어,부산광역시 해운대구 달맞이길 30 엘시티,해운대구,busan,35.160056,129.168482
［부산/해운대］ 부산요트투어 요트와,［부산/해운대］ 부산요트투어 요트와,부산광역시 해운대구 우동,해운대구,busan,35.1581445,129.1583542
［성북］ 빚다 도예공방 도자기만들기 / 물레체험 /,［성북］ 빚다 도예공방 도자기만들기 / 물레체험 /,서울 성북구 도봉로3길 9-3,성북구,seoul,37.5891,127.0182
［안면도］ 안면도 꽃지카트장＆atv,［안면도］ 안면도 꽃지카트장＆atv,충청남도 태안군 안면읍 꽃지1길 197 꽃지카트장(태안레포츠바로 뒤쪽 50m안쪽으로 들러오세요,태안군,chungnam,36.5031236,126.3384
"［안면도］ 안면도 꽃지카트장＆atv,고카트","［안면도］ 안면도 꽃지카트장＆atv,고카트",정보 없음,,,0,0
［연남］ K탑건 사격양궁장,［연남］ K탑건 사격양궁장,서울 마포구 양화로21길 29 지층,마포구,seoul,37.5665,126.9018
［완도］ 청해포구 촬영장,［완도］ 청해포구 촬영장,전남 완도군 완도읍 청해진서로 1161-8,완도군,jeonnam,34.3235109,126.6690879
［인천］부평 엔터파크 게임장,［인천］부평 엔터파크 게임장,인천 부평구 부평문화로80번길 16 스타빠루뚜빌딩 2층,부평구,incheon,37.49362317654,126.724583972505
［인천］의사직업체험 드림닥터,［인천］의사직업체험 드림닥터,인천광역시 중구 월미로 222,중구,incheon,37.4563,126.7052
［제주］ 목장카페 밭디,［제주］ 목장카페 밭디,제주특별자치도 서귀포시 표선면 번영로 2486,서귀포시,jeju,33.4078931,126.7729329
［종로］리얼샷,［종로］리얼샷,서울 종로구 관철동 18-1,종로구,seoul,37.5696597893519,126.985619725035
［충남］ 내포보부상촌,［충남］ 내포보부상촌,충남 예산군 덕산면 온천단지1로 55,예산군,chungnam,36.691225,126.6500609
▶만남의 장소 : 국립과천과학관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립과천과학관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립과천과학관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),,,0,0
▶만남의 장소 : 국립중앙박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립중앙박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립중앙박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),,,0,0
▶만남의 장소 : 국립중앙박물관 상설전시관  內 1층 으뜸홀(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립중앙박물관 상설전시관  內 1층 으뜸홀(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 국립중앙박물관 상설전시관  內 1층 으뜸홀(자세한 안내는 수업전 담당 강사님이 안내드립니다.),상설전시,,0,0
▶만남의 장소 : 서대문형무소역사관 입구 앞 (자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 서대문형무소역사관 입구 앞 (자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 서대문형무소역사관 입구 앞 (자세한 안내는 수업전 담당 강사님이 안내드립니다.),,,0,0
▶만남의 장소 : 수원화성박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 수원화성박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),▶만남의 장소 : 수원화성박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),,,0,0
▶만남의 장소 : 자세한 안내는 수업전 담당 강사님이 안내드립니다.,▶만남의 장소 : 자세한 안내는 수업전 담당 강사님이 안내드립니다.,▶만남의 장소 : 자세한 안내는 수업전 담당 강사님이 안내드립니다.,,,35.2485753,129.2166815
"★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)","★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)","★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)",반드시,,0,0
15세 관람가,15세 관람가,인천광역시 연수구 인천타워대로54번길 15-5 북일프라자2차 401호 하늘태권도,연수구,incheon,37.379454,126.6460537
2 Chome-1-7 Ogimachi,2 Chome-1-7 Ogimachi,서울특별시 영등포구 영신로 200 하이서울유스호스텔,영등포구,seoul,37.5255729,126.9032417
3 Chome-1-1 Omoromachi,3 Chome-1-1 Omoromachi,서울특별시 영등포구 영등포로 204,영등포구,seoul,37.5199394,126.9040524
5 Chome-7-1 Goya,5 Chome-7-1 Goya,서울특별시 영등포구 양평로 126 신성빌딩 1층 너도나도식당,영등포구,seoul,37.5381573,126.8938715
6 Chome-1-16 Toyosu,6 Chome-1-16 Toyosu,서울특별시 양천구 오목로 337-10 소망빌딩,양천구,seoul,37.5252875,126.8752833
63스퀘어,63스퀘어,서울 영등포구 63로 50 한화금융센터_63,영등포구,seoul,37.5198158,126.9403138
777 E Princeton St,777 E Princeton St,서울특별시 구로구 중앙로 23 1층 브래드777,구로구,seoul,37.5000065,126.8637157
가나아트센터,가나아트센터,서울 종로구 평창30길 28,종로구,seoul,37.6122897,126.9751697
가빈아트홀,가빈아트홀,서울 강남구 삼성동 151-7,강남구,seoul,37.5096842548818,127.055534174725
가산 아쿠아밸리,가산 아쿠아밸리,서울 금천구 가산동 60-26,금천구,seoul,37.4764396758109,126.887331423733
가온아트홀 1관,가온아트홀 1관,부산 동구 자성로133번길 10 천일고속빌딩 지하1층,동구,busan,35.1380834,129.0649569
가파도 정기여객선,가파도 정기여객선,제주 서귀포시 대정읍 최남단해안로 120,서귀포시,jeju,33.2100651,126.2583796
