Original,TranslationFormula
"서울생활사박물관은 급격하게 변화하는 현대 서울 사람들의 생활상을 기억하고 기록하여 시민 여러분과 함께 나누는 전시회를 매년 개최하고 있습니다. 특히 결혼, 출생, 육아, 교육 등 생애주기별로 서울 사람들의 삶이 시대에 따라 어떻게 변해왔는지 소개하는 전시를 순차적으로 진행하고 있습니다. 이번에는 서울 시민의 임신 및 출생 문화의 변화를 주제로 기획전시 《아가 마중》을 준비하였습니다. 광복의 기쁨과 전쟁의 참혹함을 지나 맞이한 1950년대부터 오늘날까지 서울 시민들의 임신 및 출생 문화는 어떻게 변화했을까요? 故 박완서 작가의 그림책 『아가 마중』에서 영감을 받은 이번 전시는 서울 사람들이 일상 속에서 새 생명을 기다리고 맞이하는 순간들을 따뜻한 시선으로 조명하고자 하였습니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
서울생활사박물관 02-3399-2900,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
"2025 경기생활도자미술관 하반기 기획전 《다음 도예: 세대, 탐색, 확장》","=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
경기 | 경기생활도자미술관,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
경기도 여주시 신륵사길 7,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
"경기생활도자미술관 하반기 기획전 《다음 도예: 세대, 탐색, 확장》은 도자의 미래를 열어갈 새로운 세대의 감각과 시도를 조명하고자 합니다. 전시는 1980~1990년대생 작가 7인의 작업을 소개합니다. 이들은 달항아리 조형성, 분청 제작기법과 같은 전통적 요소부터 화려한 유약의 표현, 3D 모델링과 캐스팅 등 현대적 제작 방식까지 폭넓게 활용합니다. 이를 통해 도자의 지평이 어떻게 확장되고 있는지를 탐색합니다. 「다음 도예」는 단순히 차세대 작가의 작업을 소개하는 것을 넘어, 세대 간 전승과 실험을 통해 도자 예술이 지닌 무한한 가능성을 드러내는 장이 될 것입니다. 이번 전시는 앞서 진행된 서울옥션 × 한국도자재단 기획 경매·전시 프로젝트와 맞닿아 있습니다. 공공과 민간의 협력을 통해 미술관과 시장이라는 두 무대 위에서 도자의 다층적 가능성을 실험한 경험은, 곧 재단이 추구하는 공공적 플랫폼으로서의 역할을 더욱 선명히 보여주었습니다. 한국도자재단은 본 전시를 통해 작가들에게는 새로운 관객과의 만남을, 관람객에게는 동시대 도자 예술을 직관적으로 체험할 수 있는 기회를 제공합니다. 「다음 도예」라는 이름 아래, 우리는 세대를 잇고 전통을 확장하며 미래로 이어지는 도자의 새로운 길을 열고자 합니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"031-887-8250, 031-887-8251","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
공감 천안: 격세지감,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
충남 | 천안박물관,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
충청남도 천안시 동남구 천안삼거리길 27,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
"‘공감천안’ 두 번째 이야기, ‘격세지감(隔世之感)’. 시간의 흐름 속에서 달라진 천안의 풍경과 시민의 삶을 통해 과거와 현재가 만나는 공감의 장을 펼친다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
천안박물관 041-521-2891~2,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
<푸룻푸룻 프렌즈 : 빠씨를 찾아서> 어린이 체험전,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
부산 | 아난티 힐튼 호텔,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
부산광역시 기장군 기장읍 기장해안로 268-32,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
"'바나나 씨앗이 어디갔지?' 한 편의 동화 속에서 예술을 체험하다! 서울 소마미술관에서 5만명의 가족 관람객이 방문했던 <푸룻푸룻프렌즈 : 빠씨를 찾아서>가 부산에서 바나나씨앗을 찾는 모험이 다시 시작됩니다. 우리 아이들의 상상력과 창의성을 마구마구 일깨워주는 현대미술가와 푸룻푸룻아트LAB팀이 만든 12개의 오리지널 체험 컨텐츠! 과일 동물 푸룻푸룻프렌즈들을 만나고 함께 빠씨를 찾아 바나나 아일랜드로 가는 동화 같은 스토리 속에서 숨어 있는 예술적 요소를 아이들의 시각과 촉각의 특별한 경험을 하게 됩니다. 아난티로 떠나는 우리가족 첫 나들이, 푸룻푸룻프렌즈와 함께 빠씨를 찾아보세요! 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
"일반 16,000원 / 청소년 14,000 / 어린이 13,000원 / 24개월 미만 무료","=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
02-766-9881,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
만인산: 보존과 해체의 기록,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
경기 | 국립민속박물관 파주,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
경기도 파주시 탄현면 헤이리로 30,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
"국립민속박물관 파주는 보존과학 전시 《만인산: 보존과 해체의 기록》을 개최합니다. 만인산(萬人傘)은 일산(日傘)의 일종으로, 어진 정치를 한 수령이 마을을 떠날 때 고을 백성이 감사의 마음을 담아 선물한 기념품이라 할 수 있습니다. 국립민속박물관은 총 5점의 만인산을 소장하고 있는데, 2006년 전시를 위한 보존처리를 시작으로 2024년까지 5점의 보존처리를 모두 완료했습니다. 이번 전시에서는 2점의 만인산을 소개하는데, 특히 관서병마절도사(關西兵馬節度使) 이종승(李鍾承, 1828~?)의 만인산을 보존처리 완료 후 최초로 공개하는 자리를 마련했습니다. 만인산의 보존처리 과정을 통해 문화유산 보존이 갖는 의미를 생각하는 시간이 되시길 바랍니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
국립민속박물관 파주관 031-580-5800~1,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
블링블링 캐치! 티니핑 심포니,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
"R석 88,000원
S석 77,000원
A석 66,000원
시야방해R 77,000원
시야방해S 66,000원","=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
(재)부산문화회관 051-607-6057,"=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
여주 상원사 흙 속에서 깨어나다,"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
경기 | 여주박물관,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
경기도 여주시 신륵사길 6-12,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
"여주 혜목산에는 오랫동안 사찰 터로 추정되는 흔적이 있었습니다. 남아있는 건물지의 기단석과 승탑 부재만이 예전의 흔적을 보여줄 뿐, 그곳의 정체를 명확히 알 수는 없었습니다. 여주시는 국가유산청과 함께 (재)불교문화유산연구소에 의뢰하여 2020년부터 5년간 발굴조사를 진행하였습니다. 그 결과, 이 사찰 터는 통일신라 말에 현욱선사가 머물렀고 이후 조선 후기까지 운영되었던 ‘상원사’였음이 밝혀졌습니다. 여주박물관은 상원사지 발굴조사에서 확인된 유구와 유물을 통해 상원사의 모습을 살펴보고자 「여주 상원사, 흙 속에서 깨어나다」 특별기획전을 개최합니다. 발굴조사 모습과 기와, 청자, 백자 등 유물로 잊혀졌던 상원사의 풍경을 우리에게 보여줄 것입니다. 긴 세월 흙 속에 잠들어 있다 마침내 깨어난 상원사. 오래된 타임캡슐을 개봉하듯 설레는 마음으로 준비한 상원사의 이야기에 함께 귀 기울여 주시기 바랍니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
여주박물관 031-887-3583~4,"=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
"통영 안정사, 유물로 보는 공간과 의례문화","=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
경남 | 통영시립박물관,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
경상남도 통영시 중앙로 65,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
통영시립박물관 055-646-8371,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
AI 기반 미디어아트 전시 《뉴-미디어의 재해-석》,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
서울 | 중랑아트센터,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
서울특별시 중랑구 망우로 353 이노시티 C동 B2F 중랑아트센터,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
"《뉴-미디어의 재해-석》 오늘날 ‘인공지능(AI)’은 단순한 도구를 넘어 일상뿐만 아니라 예술을 재편하는 매개로 작동한다. 멀티모달 처리, 상호작용성, 딥러닝 등의 기술은 감각의 방식을 바꾸고, 창작과 수용의 구조를 근본적으로 흔들고 있다. 예술은 더 이상 고정된 결과물이 아니라, AI가 만든 새로운 조건 속에서 다시 작동하기 시작한다. 1960년대 미디어 이론가 마셜 맥루한은 “미디어는 메시지다”라는 주장으로, 미디어를 인간 감각과 사회 구조를 새롭게 구성하는 환경으로 보았다. 라디오와 전화, 인터넷을 거쳐 오늘날의 AI는 이 논리를 가장 첨예하게 드러내는 새로운 미디어로 등장했다. 전시 《뉴-미디어의 재해-석》은 바로 이 지점을 탐구한다. 여기서 ‘재해(災害)’는 기존 질서에 대한 균열과 충격을, ‘재해석(再解釋)’은 그 틈에서 발견되는 새로운 가능성(환경)을 의미한다. 이번 전시는 네 점의 작품을 통해 이러한 전환의 장면을 드러낸다. 《뉴 월드? II》는 NFT의 실시간 데이터를 파도의 이미지로 시각화하며 기술의 비가시적 흐름과 환경적 함의를 드러낸다. 《일렉트릭 드림》은 AI 이미지와 관람객의 상호작용을 통해 기억과 정체성의 경계를 탐색한다. 《루덴스토피아》는 현실 공간과 유희 공간을 AI가 재해석해 제3의 상상 공간으로 재구성한다. 《모든 것이 연결되어 있다》는 생태계와 역사 데이터를 통해 기술과 자연, 인간의 관계를 재사유한다. 이 환경에서 작가는 결론을 제시하는 존재가 아니라 질문의 조건을 설계하는 존재로 바뀌고, 관람자는 그 질문에 반응하며 새로운 감각적 주체로 자리한다. 《뉴-미디어의 재해-석》은 이러한 감각과 해석의 변화를 점검하며, 오늘날 예술이 새롭게 작동하는 방식을 탐구한다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
02-3407-6541,"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
신라한향,"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
경북 | 솔거미술관,"=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
경상북도 경주시 경감로 614,"=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
"[연기] [함축] 일월과 연화, 그리고 염원 =김민, [적연명] [석가여래 상주 설법탑] [다보여래 상주 증명탑] [관음염화] [충담] 투명과 탑파, 그리고 응시 =박선민, [시간의 연결성: 유리서] [전아] 통격과 화해, 그리고 회통 -송천, [만파식적] [바이올린] [생사] [관세음보살] [성모마리아] [수월관음도] [웅혼] 미소와 문향, 그리고 웅혼 -박대성, [코리아 판타지] [반가사유상] [난] [여적] 다시_사람됨을 찾아서 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
"대인 12,000원 / 소인 10,000원","=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
054-740-3990,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
"한국 무속의 원형을 만나는 특별한 전시 &lt;안녕, 금성당&gt;","=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
서울 | 은평역사한옥박물관,"=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
서울특별시 은평구 연서로50길 8,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
"전시 제목 『안녕, 금성당』은 오랜 세월을 떠돌다 돌아온 유물에 건네는 따뜻한 인사이자, 앞으로도 금성당이 지역사회와 함께 평안히 이어지기를 바라는 의미를 담고 있습니다. 서울 은평구 진관동에 자리한 금성당은 조선 후기 왕실과 민간이 함께 제의를 올리던 국가민속문화유산으로, 금성대왕과 금성대군을 주신으로 모시고 굿을 행하던 장소입니다. 은평뉴타운 개발 당시 금성당 건물은 보존되었으나 내부 유물은 서울역사박물관으로 기탁되었다가 2024년 가을, 기증을 통해 은평역사한옥박물관으로 돌아왔습니다. 전시는 ‘바라다–행하다–나누다’라는 세 가지 주제로 구성됩니다. 이번 전시를 통해 오해와 무관심 속에서 외면 받았던 무속의 참된 의미를 되새기고, 오랜 세월을 돌아 제자리로 돌아온 유물들과 다시 인연을 이어가는 뜻깊은 자리가 되길 바랍니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
은평역사한옥박물관 02-351-8533,"=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
"봄, 여름, 가을, 겨울 - 흔들리는 계절","=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
서울 | 서대문 자연사박물관,"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
서울특별시 서대문구 연희로32길 51,"=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
"기후 위기 속에서 한국의 사계절을 중심으로, 기후 변화 속에서 적응해가는 인간과 생존에 위협을 받는 동·식물들의 이야기 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
서대문자연사박물관 02-330-8899,"=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
"80년, 함께 걸어온 기억의 순간","=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
충남 | 국립부여박물관,"=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
충청남도 부여군 부여읍 금성로 5,"=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
