Original,TranslationFormula
"［9,900원］ 가족뮤지컬 아기돼지 삼형제 - 서울 구로","=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
구로구민회관 대강당,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
서울 구로구 가마산로25길 21,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
"2026년 3월 21일(토) 11시, 14시, 16시","=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
"30,000원","=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
［구로］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) 12시, 14시, 16시","=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
"전석 50,000원","=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
［서울］ 가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
나루아트센터 대공연장,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
서울 광진구 능동로 76,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시, 2시, 4시30분","=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
"R석 66,000원","=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
［해피 마포 와글와글］ 뮤지컬 〈푸른 사자 와니니〉,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
마포아트센터 아트홀 맥,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
서울 마포구 대흥로20길 28,"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
"예매가능시간: 관람 2시간 전까지수목금 19시30분 / 토일 14시, 18시
* 월, 화 공연없음, 5/6(수) 공연없음
* 단, 5/1(금), 5/5(화) 14시, 18시","=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
"R석 88,000원
S석 77,000원
A석 55,000원","=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
［NOL 단독］뮤지컬 데스노트(The Musical Death Note),"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
디큐브 링크아트센터,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
서울 구로구 경인로 662,"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
예매가능시간: 관람 3시간 전까지3.13(금) 19:30 / 3.19(목) 19:30 / 3.25(수) 14:004.5(일) 14:00 / 4.7(화) 19:00 / 4.11(토) 14:00,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
"VIP석 170,000원
R석 140,000원
S석 110,000원
A석 80,000원","=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
［Play＆Stay］뮤지컬 데스노트+ Hotel,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
"[중요 공지 안내]- 티켓수령: 호텔 내 Play&Stay 티켓데스크(9AM~12PM)- 본 상품의 티켓은 구매자 본인 관람이 필수이며 양도, 대리 수령 절대 불가능합니다.- 호텔 투숙은 구매자 본인이 체크인 하셔야만 이용 가능하시며 미성년자의 경우 법적 보호자와 함께 투숙 가능하십니다.","=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
"4/5(일) 포포인츠 바이 쉐라톤 서울 구로 (2인) 1,290,000원
4/7(화) 롯데시티호텔 구로 (2인) 1,070,000원
4/11(토) 롯데시티호텔 구로 (2인) 1,360,000원","=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
예술의전당 오페라극장,"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
서울 서초구 남부순환로 2406,"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
"예매가능시간: 관람 1시간 전까지화, 목, 19시 30분 / 수, 금, 토 14시, 19시 30분 / 일 14시 (월 공연 없음) ※ 극장, 공연 제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.","=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
"R석 190,000원
OP석 190,000원
S석 160,000원
A석 130,000원
B석 90,000원
1층 시야제한석 80,000원
2층 시야제한석 80,000원","=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
2026 가족 라이브 뮤지컬 〈피터팬〉 (서울양천),"=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
서울 양천구 목동서로 367,"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
예매가능시간: 관람 2시간 전까지2026년 4월 4일(토) ~ 4월 5일(일) 11시/ 14시/ 16시,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
"R석 40,000원
S석 30,000원","=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
