Original,TranslationFormula
"［9,900원］ 가족뮤지컬 아기돼지 삼형제 - 서울 구로","=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
구로구민회관 대강당,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
서울 구로구 가마산로25길 21,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
"2026년 3월 21일(토) 11시, 14시, 16시","=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
"30,000원","=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
［구로］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) 12시, 14시, 16시","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
"전석 50,000원","=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
［서울］ 가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
나루아트센터 대공연장,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
서울 광진구 능동로 76,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시, 2시, 4시30분","=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
"R석 66,000원","=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
［해피 마포 와글와글］ 뮤지컬 〈푸른 사자 와니니〉,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
마포아트센터 아트홀 맥,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
서울 마포구 대흥로20길 28,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지수목금 19시30분 / 토일 14시, 18시
* 월, 화 공연없음, 5/6(수) 공연없음
* 단, 5/1(금), 5/5(화) 14시, 18시","=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
"R석 88,000원
S석 77,000원
A석 55,000원","=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
［NOL 단독］뮤지컬 데스노트(The Musical Death Note),"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
디큐브 링크아트센터,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
서울 구로구 경인로 662,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
예매가능시간: 관람 3시간 전까지3.13(금) 19:30 / 3.19(목) 19:30 / 3.25(수) 14:004.5(일) 14:00 / 4.7(화) 19:00 / 4.11(토) 14:00,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
"VIP석 170,000원
R석 140,000원
S석 110,000원
A석 80,000원","=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
［Play＆Stay］뮤지컬 데스노트+ Hotel,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
"[중요 공지 안내]- 티켓수령: 호텔 내 Play&Stay 티켓데스크(9AM~12PM)- 본 상품의 티켓은 구매자 본인 관람이 필수이며 양도, 대리 수령 절대 불가능합니다.- 호텔 투숙은 구매자 본인이 체크인 하셔야만 이용 가능하시며 미성년자의 경우 법적 보호자와 함께 투숙 가능하십니다.","=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
"4/5(일) 포포인츠 바이 쉐라톤 서울 구로 (2인) 1,290,000원
4/7(화) 롯데시티호텔 구로 (2인) 1,070,000원
4/11(토) 롯데시티호텔 구로 (2인) 1,360,000원","=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
예술의전당 오페라극장,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
서울 서초구 남부순환로 2406,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
"예매가능시간: 관람 1시간 전까지화, 목, 19시 30분 / 수, 금, 토 14시, 19시 30분 / 일 14시 (월 공연 없음) ※ 극장, 공연 제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.","=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
"R석 190,000원
OP석 190,000원
S석 160,000원
A석 130,000원
B석 90,000원
1층 시야제한석 80,000원
2층 시야제한석 80,000원","=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
2026 가족 라이브 뮤지컬 〈피터팬〉 (서울양천),"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
서울 양천구 목동서로 367,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
예매가능시간: 관람 2시간 전까지2026년 4월 4일(토) ~ 4월 5일(일) 11시/ 14시/ 16시,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
"R석 40,000원
S석 30,000원","=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
2026 가족 뮤지컬 〈오즈의 마법사〉 - 서울양천,"=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
예매가능시간: 관람 2시간 전까지2026년 4월 11일(토) ~ 4월 12일(일) 11시/ 14시/ 16시,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
2026 앤서니브라운 가족뮤지컬 〈우리아빠가최고야〉 - 서울(관악),"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
관악아트홀,"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
서울 관악구 대학동 녹두거리,"=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시 14시 16시,"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
"R석 40,000원","=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
가족뮤지컬 〈꼬마버스 타요 - 소원을 들어주는 요술 지팡이 대소동〉 - 강동,"=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
강동아트센터 대극장 한강,"=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
서울 강동구 동남로 870,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 4월 18일(토) 11시, 14시, 16시 30분
2026년 4월 19일(일) 11시, 14시","=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
"R석 60,000원
S석 50,000원","=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
가족뮤지컬 〈나의 비밀친구 해치〉 - 서울,"=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
KT&G 상상마당 대치아트홀,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
서울특별시 강남구 영동대로 416 (대치동),"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
"예매가능시간: 관람 2시간 전까지목,금 16시 / 주말 및 공휴일 11시, 14시 / 월,화,수 공연없음
* 5월 1일(금), 5월 4일(월) 11시, 14시
* 5월 7일(목), 5월 8일(금) 공연없음","=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
가족뮤지컬 〈마인블록월드 : 우리가 만드는 세상〉 - 서울,"=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
소월아트홀,"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
서울 성동구 행당1동 행당동 고산자로12길,"=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
