Original,TranslationFormula
춘천 | 춘천문화예술회관,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
"캐스팅 3.27(금) 1회차 : 김영옥, 신은정, 김승욱, 이필모, 윤봄, 박채린 3.28(토) 2,3회차 : 손숙, 이일화, 박지일, 윤희석, 진지희, 손지유 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
R석 5만원 / S석 4만원 / A석 3만원,"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
접근성 높은 연극 <해리엇>,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
"강동문화재단 제작 창작 레퍼토리로, 거북 해리엇과 원숭이 찰리의 여정을 통해 돌봄과 공존을 전하는 접근성 높은 연극 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
062-975-2860,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
"제주의 대표 건축가이자 제주 건축문화의 형성과 발전에 지속적으로 이바지해온 건축가 김석윤의 건축철학과 주요 작품을 종합적으로 조명하는 자리이다. 김석윤의 작업이 제주의 자연·사회·문화적 조건 속에서 제주 현대건축의 형성과 전개에 어떠한 역할을 해왔는지를 체계적으로 이해할 수 있도록 기획하였다. 제주도립미술관과 (사)한국건축가협회 제주건축가회가 공동으로 주최·주관하는 본 전시는 2009년 한국건축가협회상을 수상한 김석윤의 대표작인 제주현대미술관에서 개최되어, 건축가의 사유가 구현된 공간 안에서 그의 건축 세계를 되짚는다는 점에서 전시의 내용과 장소가 유기적으로 결합된 상징성과 장소성도 함께 지닌다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
"성인 2,000원 / 청소년, 군인 1,000원 / 어린이 500원","=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
제주현대미술관 064-710-7801,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
"《탐미(探美)의 일월(日月)》은 김흥수(1919~2014)가 1980년 『신동아』에 기고한 글에서 착안한 전시 제목입니다. 이번 전시에서는 공개되지 않았던 작품과 다양한 아카이브를 통해 ‘아름다움(美)’을 평생(日月) 탐구한(探) 한 화가의 삶과 예술세계를 비춥니다. 김흥수는 일본(1938~1944), 프랑스(1955~1961), 미국(1967~1982)을 거쳐 1977년 자신의 조형언어인 「음양조형주의 하모니즘」을 주창하였습니다. 그의 예술 세계가 형성되어 간 과정을 회화, 드로잉, 콜라주, 포스터, 사진, 기고문 등으로 함께 들여다봅니다. 상설전시실에서는 작품과 아카이브를 통해 김흥수의 일대기를 되돌아봅니다. 예술가는 작품으로 자신을 남기고, 아카이브는 그 작품을 둘러싸며 삶의 결을 드러냅니다. 일본에서 파리, 그리고 미국으로 이어진 발자취 속에서 김흥수가 고유한 예술 언어를 찾아간 여정을 함께 따라가 봅니다. 특별전시실에서는 김흥수의 드로잉에 주목합니다. 제주현대미술관 소장품을 비롯해 기고문 삽화 원화, 초상 드로잉, 그리고 그의 예술에서 빼놓을 수 없는 누드 드로잉까지 한자리에서 만날 수 있습니다. 김흥수의 드로잉은 창작의 출발선에서 우리를 맞이하며, 예술가의 사유와 고민을 가까이에서 느낄 수 있게 합니다. 이번 전시를 통해 ‘아름다움이란 무엇인가’라는 질문 앞에 잠시 멈춰서 보시길 바랍니다. 해당 공연·전시 프로그램은 주최자·공연자 등의 사정에 따라 변경될 수 있습니다. 1688-2220","=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
