Original,TranslationFormula
경기 평택시 고덕동 1694-450,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
"함박산중앙공원은 고덕신도시에 위치한 생태형 복합문화공원으로, 함박산공원과 연결되어 있다. 약 67만 1,000㎡ 규모로 조성되었으며, 백로 서식지를 보전해 생태적 가치를 높였다. 글로벌존·오감힐링존·에코체험존·예술테마존·수변여가존 등 다섯 개 공간으로 구성되어 있고, 오차드가든·실개천·스포츠필드·음악분수 등 다양한 시설이 마련되어 있다. 산책로와 트랙이 잘 정비되어 걷거나 뛰기 좋고, 곳곳에 벤치가 배치되어 휴식하기에도 적합하다.","=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
031-8024-4284,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
이충레포츠공원,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
오산 이충레포츠공원,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
경기 평택시 장안웃길 149,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"이충레포츠공원은 평택시에 위치한 대규모 레포츠 공원이다. 축구장, 테니스장, 배드민턴장, 농구장, 풋살장, 족구장, 소프트볼장, 그라운드골프장, 인라인스케이트장, 역도장, 씨름장, 수영장, 레슬링장 등 다양한 종목의 체육시설을 고루 갖춰 시민들의 생활체육 활동이 활발하다. 공원 내에는 산책로와 어린이 놀이터, 편의시설도 잘 조성되어 있어 가족 단위 피크닉 장소로도 적합하다. 반려견과 함께 이용할 수 있는 시민 쉼터도 마련되어 있어 견주들도 즐겨 찾는다.","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
031-8024-4283,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
한강신도시호수공원,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
김포 한강신도시호수공원,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
경기도 김포시 김포한강8로 302 (마산동),"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
"구래동 한강 신도시에 위치한 산책하기 좋은 호수공원이다. 남녀노소 누구나 산책, 운동, 가족 나들이하기 좋은 곳으로 시민을 배려한 공간들이 많다. 산책길 뿐만아니라 그늘막 텐트를 치고 쉴 수 있는 피크닉 존(허용 기간이 4월에서 10월까지)이 있으며 호숫가에는 억새와 바위들이 운치를 더하고 통나무 세모 집은 휴식공간을 제공한다.","=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
031-5186-4642~3,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
몬스터리움,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
김포 몬스터리움,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
경기도 김포시 대곶면 대명항1로 52,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
"김포 몬스터리움은 동물원과 아쿠아리움을 한곳에서 체험할 수 있는 곳으로, 김포 수산공원 카페와 나란히 있다. 드라마 ''이상한 변호사 우영우'' 촬영지로도 유명한 곳이며, 유영하는 듯한 혹등고래의 신비로운 자태로 가득한 건물 외관이 방문객의 눈길을 끈다. 이곳에서는 각종 갑각류와 파충류, 희귀동물을 비롯한 고대어까지 다양하게 관람할 수 있다. 규모가 대형 아쿠아리움에 비할 바는 아니지만 관리가 잘 되어진 투명한 수족관과 깔끔한 실내 시설이 쾌적한 느낌을 준다. 곳곳에 있는 아기자기하고 재미있는 포토존에서는 추억의 시간을 사진으로 남길 수 있다. 아이들에게는 잉어, 거북이, 토끼, 알파카 등의 동물 먹이주기 체험이 인기다. 파충류관에서는 직접 동물을 만져보는 기회도 주어진다. 이 외에도 아마존 강에서 주로 서식한다는 세계 최대 담수어인 피라루크를 볼 수 있는데 정해진 시간을 맞추어 간다면 피라루크 쇼도 감상할 수 있다. 건물 옥상에서는 천국의 계단이라 불리는 곳에서 트릭아트로 꾸며놓은 옥상 바닥을 배경 삼아 인생샷을 남길 수 있다. 옥상은 바로 옆 수산공원 카페와도 연결이 되어 있어 함께 방문하는 것도 좋다.","=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
0507-1481-9605,"=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
김포아트빌리지,"=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
김포 김포아트빌리지,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
경기 김포시 모담공원로 170,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
"김포아트빌리지는 전통과 현대의 아름다움이 공존하는 문화관광복합공간이다. 모담산 자락에 자리해 한옥마을의 고즈넉한 매력과 아름다운 자연 풍경을 동시에 즐길 수 있다. 17개의 한옥과 5개의 창작스튜디오, 아트센터, 야외공연장, 전통놀이마당 등으로 구성되어 다양한 문화·예술 활동이 이뤄진다. 시민에게는 일상 속에서 문화를 접할 수 있는 친근한 장소로, 관광객에게는 다시 찾고 싶은 특별한 여행지로 사랑받는다.","=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
031-999-3995,"=GOOGLETRANSLATE(A24, ""ko"", ""ja"")"
김포 김포아트홀,"=GOOGLETRANSLATE(A25, ""ko"", ""ja"")"
경기 김포시 돌문로 26,"=GOOGLETRANSLATE(A26, ""ko"", ""ja"")"
"김포아트홀은 김포시민의 삶의 질 향상과 문화예술 진흥을 위해 건립된 김포시 공공 문예회관이다. 503석 규모의 공연장과 갤러리, 세미나실 등으로 구성되어 있으며, 수준 높은 기획 공연과 전시, 문화예술교육, ‘문화가 있는 날’ 프로그램 등 다양한 시민참여 콘텐츠를 운영한다. 공연장은 연극·실내악·독주회 등에 적합한 구조로 설계되었고, 전시장은 회화·서예·조각 등 여러 장르의 작품 전시가 가능해 지역 예술 활동의 중심지 역할을 한다.","=GOOGLETRANSLATE(A27, ""ko"", ""ja"")"
031-999-3962,"=GOOGLETRANSLATE(A28, ""ko"", ""ja"")"
갯골캠핑장,"=GOOGLETRANSLATE(A29, ""ko"", ""ja"")"
시흥 갯골캠핑장,"=GOOGLETRANSLATE(A30, ""ko"", ""ja"")"
경기도 시흥시 동서로 137-71 (월곶동),"=GOOGLETRANSLATE(A31, ""ko"", ""ja"")"
"갯골캠핑장은 경기도 시흥시에 자리 잡고 있다. 시흥시청을 기점으로 장현교차로와 상곡교차로를 거치면 닿는데, 소요 시간은 10분가량이다. 도심에 있지만, 캠핑장에 들어서면 숲속에 들어온 듯한 착각이 드는 이곳은 글램핑 2면, 캠핑장 40면을 갖췄다. 대인원을 수용하기 위해 마련한 글램핑 객실은 냉난방기만 구비하고 있어, 취사도구 등 필요한 물품은 직접 챙겨야 한다. 만약 캠핑 장비가 없다면 관리소에서 대여 가능하다. 또한 전기 사용은 가능하지만 화로대 사용은 허용하지 않는다. 오전 9시부터 오후 9시까지 문을 여는 매점에서는 식품과 음료 등을 판매한다. 현금은 받지 않으며, 오로지 카드로만 결제가 가능하다. 어린이를 위한 놀이터 등의 부대시설도 갖추고 있다.","=GOOGLETRANSLATE(A32, ""ko"", ""ja"")"
031-488-6998,"=GOOGLETRANSLATE(A33, ""ko"", ""ja"")"
삼미시장,"=GOOGLETRANSLATE(A34, ""ko"", ""ja"")"
시흥 삼미시장,"=GOOGLETRANSLATE(A35, ""ko"", ""ja"")"
경기도 시흥시 삼미시장1길 19,"=GOOGLETRANSLATE(A36, ""ko"", ""ja"")"
"경기도 시흥시 신천동에 위치한 전통시장으로 채소,과일,육류,생선 등 각종 식품과 잡화를 판매하고 있다. 깨끗한 시설과 저렴한 가격으로 지역민 뿐만 아니라 관광객들도 찾는 시흥의 대표 전통시장이다. 삼미시장 한가운데 위치해있는 포장마차 거리는 다양한 먹거리를 즐기고 전통시장의 정겨움을 느끼기 좋은 공간이다.","=GOOGLETRANSLATE(A37, ""ko"", ""ja"")"
031-311-7006,"=GOOGLETRANSLATE(A38, ""ko"", ""ja"")"
감악산 출렁다리,"=GOOGLETRANSLATE(A39, ""ko"", ""ja"")"
경기도 파주시 적성면 설마천로 273-9,"=GOOGLETRANSLATE(A40, ""ko"", ""ja"")"
"감악산은 경기 오악(五岳) 중 하나로 바위 사이로 검은빛과 푸른빛이 동시에 나왔다 하여 감색 바위산이란 뜻이다. 감악산 둘레길의 시작점에 위치한 출렁다리는 도로로 인해 잘려 나간 설마리 골짜기를 연결하는 다리이다. 출렁다리는 전국 최장 150m의 무주탑 산악 현수교로 자연과 조화를 이루도록 시공되었다. 설마천을 끼고 있는 아기자기한 계곡, 운계폭포가 감악산의 자랑으로 거의 수직으로 떨어지는 폭포는 겨울 빙벽훈련에도 이용된다. 정상에는 감악산비가 서 있고, 장군봉 바로 아래에는 임꺽정이 관군의 추격을 피해 숨어 있었다는 임꺽정 굴도 있다. 감악산은 휴전선과 가까워 정상에 오르면 임진강과 개성의 송악산이 두루 눈에 들어온다. 능선에 나 있는 솔향기 그윽한 등산로와 상큼한 흙내음 또한 일품이라 많은 등산객들이 찾는다.","=GOOGLETRANSLATE(A41, ""ko"", ""ja"")"
031-950-1902,"=GOOGLETRANSLATE(A42, ""ko"", ""ja"")"
운정호수공원,"=GOOGLETRANSLATE(A43, ""ko"", ""ja"")"
경기도 파주시 경의로 1151 (와동동),"=GOOGLETRANSLATE(A44, ""ko"", ""ja"")"
"운정호수공원은 파주시 와동동 일대 운정신도시 중앙에 위치한 규모 724,937㎡ 공원이다. 각종 편의시설과 이벤트 시설은 물론, 푸른 잔디와 놀이 공간이 있는 미래 광장, 저수지를 조망할 수 있는 꿈꾸는 동산, 철마다 색색의 꽃이 피고 대형 바람개비가 설치된 바람개비언덕, 그리고 50m 높이까지 물을 뿜어내는 하늘 분수 등이 설치되어있다.","=GOOGLETRANSLATE(A45, ""ko"", ""ja"")"
031-946-2125,"=GOOGLETRANSLATE(A46, ""ko"", ""ja"")"
약천사,"=GOOGLETRANSLATE(A47, ""ko"", ""ja"")"
경기 파주시 교하로681번길 118,"=GOOGLETRANSLATE(A48, ""ko"", ""ja"")"
"심학산 약천사는 지장보살에게 참회와 기도를 올리는 '지장기도 참회 도량'으로 알려진 파주의 사찰이다. 통일약사여래대불이 봉안되어 있어 소원 성취를 기원하는 이들의 발길이 끊이지 않고, 불교대학·지장회·합창단 등 신행단체 활동도 활발하다. 사찰 주변에는 심학산과 자연휴양림, 약수터가 자리해 등산과 휴식을 함께 즐기기 좋다. 약천사 뒤편 둘레길을 따라 약 20분가량 오르면 정상에 닿으며, 이곳에서 한강을 비롯해 김포와 임진강 유역까지 시원하게 펼쳐지는 전망을 감상할 수 있다.","=GOOGLETRANSLATE(A49, ""ko"", ""ja"")"
031-942-1252,"=GOOGLETRANSLATE(A50, ""ko"", ""ja"")"
경기도 파주시 문발로 253 (문발동),"=GOOGLETRANSLATE(A51, ""ko"", ""ja"")"
"미메시스 아트 뮤지엄은 대지 1,400평에 연면적 1,100평으로, 지상 3층(지하 1층)으로 이루어져 있는데, 다양한 크기와 개수의 전시 공간이 하나의 덩어리에 담긴 설계로 유명하다. 다양한 곡면으로 이루어진 백색의 전시 공간은 가급적 인조광을 배제하고 자연광을 끌어들여 은은하고 차분한 분위기를 연출하며 시시때때로 변하는 빛의 향연을 볼 수 있는 것이 큰 특징이다. 미메시스 아트 뮤지엄은 상업적인 전시공간으로 방문객을 유혹하는 것이 아닌 건축자체로 전시 이상의 큰 즐거움을 선사하는 공간이 되고 있다. 알바루 시자가 설계한 브라질의 이베리 카르마구 미술관보다 전 세계적으로 더 많은 방문객을 끌어 모을 것이라는 포르투갈의 유명한 건축사진작가 페르난두 게하의 말처럼 미메시스 아트 뮤지엄은 개관 전부터 각종 해외 매체에 소개되었으며, 국내외 건축가들에게 큰 영향을 미치고 있다. 지금도 방문객들 발길이 끊이지 않고 있다. 미메시스 아트 뮤지엄은 앞으로 ‘상상력을 자극하는 예술’을 적극 소개해나갈 예정이다.","=GOOGLETRANSLATE(A52, ""ko"", ""ja"")"
"- 성인 10,000원- 중·고등학생 8,000원- 초등학생 5,000원- 단체(20인 이상) 9,000원- 65세 이상 / 국가유공자 / 장애인 8,000원- 파주시민 8,000원※ 무료 : 마취학 아동(7세 이하)","=GOOGLETRANSLATE(A53, ""ko"", ""ja"")"
031-955-4100,"=GOOGLETRANSLATE(A54, ""ko"", ""ja"")"
콩치노 콩크리트 콘서트홀,"=GOOGLETRANSLATE(A55, ""ko"", ""ja"")"
경기 파주시 탄현면 새오리로161번길 17,"=GOOGLETRANSLATE(A56, ""ko"", ""ja"")"
"콩치노콩크리트는 파주에 위치한 국내 최대 규모의 순수 음악감상실이다. 1930년대 미국·독일 극장용 빈티지 스피커를 통해 1만여 장의 LP 컬렉션에 담긴 재즈, 클래식 등 다양한 장르의 음악을 감상할 수 있다. 음악에 온전히 집중할 수 있도록 음료는 생수만 제공한다. 통창 너머로 사계절의 변화가 펼쳐지고, 특히 2층 창가석에서 바라보는 노을이 아름다워 ‘노을 맛집’으로도 불린다. 주기적으로 열리는 공연을 통해 음악과 함께하는 특별한 문화 경험을 선사한다.","=GOOGLETRANSLATE(A57, ""ko"", ""ja"")"
031-946-5800,"=GOOGLETRANSLATE(A58, ""ko"", ""ja"")"
산골수목원,"=GOOGLETRANSLATE(A59, ""ko"", ""ja"")"
시흥 산골수목원,"=GOOGLETRANSLATE(A60, ""ko"", ""ja"")"
경기 시흥시 금화로202번길 136-2,"=GOOGLETRANSLATE(A61, ""ko"", ""ja"")"
"산골수목원은 시흥시에 위치한 수목원 겸 대형 베이커리 카페다. 싱그러운 풀 내음 가득한 공간에서 자연을 온몸으로 만끽할 수 있다. 2층에서는 우거진 나무를 바라보며 사색에 잠기고, 3층 테라스에서는 바람결에 몸을 맡긴 채 한적한 시간을 보낼 수 있다. 카페 뒤편 산책길을 따라가면 온실정원이 나타나 커피 한 잔의 여유를 더한다. 크루아상·소금빵·몽블랑 등 베이커리부터 커피·에이드까지 메뉴가 다채로워 취향에 맞게 골라 먹는 재미도 쏠쏠하다.","=GOOGLETRANSLATE(A62, ""ko"", ""ja"")"
031-401-7836,"=GOOGLETRANSLATE(A63, ""ko"", ""ja"")"
정왕시장,"=GOOGLETRANSLATE(A64, ""ko"", ""ja"")"
시흥 정왕시장,"=GOOGLETRANSLATE(A65, ""ko"", ""ja"")"
경기도 시흥시 정왕시장길 52 (정왕동),"=GOOGLETRANSLATE(A66, ""ko"", ""ja"")"
