Original,TranslationFormula
041-522-7199,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
제302회 수원시립교향악단 정기연주회,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
경기 | 수원SK아트리움 대공연장,"=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
경기도 수원시 장안구 이목로 24,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
"R석 20,000원, S석 10,000원","=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
수원시립교향악단 031-250-5362~6,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"B관 이경선 개인전 "" 강아지풀에서 현실을 만나다""","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
청주갤러리원 043-221-5985,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
성남아트센터 오후의 콘서트: 보헤미아의 낭만 (4월),"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
성남아트센터 앙상블씨어터,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
성남문화재단 031-783-8000,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
사이파크 ⟪흐름 속 생성과 소멸: 공감⟫,"=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
울산 | 슬도아트,"=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
울산광역시 동구 성끝길 103,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
슬도아트 052-234-1033,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
빈센트 드 브리스 피아노 독주회,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
