Original,TranslationFormula
"화개정원은 약 18만 본의 수목과 관목류, 초화류가 식재된 인천 최초의 지방정원으로, 2023년 4월 24일 등록되었다. ‘오랜 시간 켜켜이 쌓인 교동도의 역사와 자연을 담은 정원’을 컨셉으로, 물의 정원, 역사·문화의 정원, 추억의 정원, 평화의 정원, 치유의 정원 등 5가지 테마로 구성되어 다양한 자연의 아름다움을 선사한다. 정원 내 위치한 화개산 전망대는 전국 최대 규모의 스카이워크형 전망대로, 7km 떨어진 북한 황해도 연백평야와 강화군 다도해를 한눈에 조망할 수 있다. 특히 투명한 바닥의 스카이워크는 색다른 스릴과 함께 특별한 경관을 제공한다. 전망대는 강화군의 군조인 저어새를 형상화하여 디자인되었으며, 저어새의 부리와 눈이 북한을 바라보는 형태로 만들어져 ‘손에 닿을 듯 가깝지만 갈 수 없는 북녘을 향한 비상’이라는 상징적 의미를 담고 있다.","=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
032-932-2336,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
새별오름,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
제주특별자치도 제주시 애월읍 봉성리 산 59-8,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
"새별오름은 서부의 대표 오름으로, ‘저녁 하늘에 샛별과 같이 외롭게 서있다’하여 이름이 붙여졌다. 남봉을 정점으로 남서, 북서, 북동 방향으로 등성이가 있으며, 등성이마다 봉우리가 있다. 서쪽은 삼태기 모양으로 넓게 열려 있고, 북쪽은 우묵하게 파여 있다. 마치 별표처럼 둥그런 표창 같은 5개의 봉우리가 존재한다. 전체적으로 풀밭을 이루나 북쪽 사면에 일부 잡목이 형성되어 있고, 서북쪽 사면에 공동묘지가 조성되어 있다.","=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
신포국제시장,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
인천광역시 중구 관동3가,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
"인천 중구 신포동 일대의 신포시장은 19세기 말 이곳에 자리 잡은 일본인, 중국인, 서양인들을 상대로 고급 채소를 파는 곳에서부터 시작되었다고 한다. 카페리와 크루즈 선박을 통해 인천을 찾는 관광객과 국제상인 수가 매년 크게 증가함에 따라 국제여객터미널에서 가까운 거리에 있는 신포시장을 다국적 문화를 연계한 국제상인 시장으로 조성하였다. 또한 신포시장 내에 안내데스크와 셀프 오피스를 구성해 국제상인 지원센터를 만들어, 신포시장을 방문하는 국내외 소무역상 및 관광객들에게 무역정보, 쇼핑 및 관광안내 정보, 통역 등을 제공한다. 신포시장은 일제 강점기 때 소규모 점포들이 하나둘씩 모여들면서 명맥을 이어오다 지난 1970년 정식으로 시장등록이 됐으며 현재 다양한 점포가 입주해 있다.","=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
032-772-5812,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
대둔산케이블카,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
전북특별자치도 완주군 운주면 대둔산공원길 55,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
"대둔산 케이블카는 1990년 11월에 운행을 개시했다. 선로길이 927m에 경사 23도를 유지하며 2대가 서로 교행 하는 왕복식 케이블카로, 상부역사까지 최대 50명이 약 5분 안에 도착할 수 있는 편안하고 안전한 케이블카이다. 케이블카에서 내려다보이는 대둔산의 웅장한 산세와 기암괴석은 병풍처럼 펼쳐져 절경을 이루고 있다. 케이블카 상부에서 보는 산세는 금강산 못지않은 비경지대로 위쪽으로 금강구름다리와 삼선구름다리가 명물로 꼽히고 있다. 케이블카 탑승권은 탑승 당일 순차적으로 발권이 가능하며, 사전예약은 불가능하다.","=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
063-263-6621~2,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
교동도 대룡시장,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
인천광역시 강화군 교동면 교동남로 35,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
"대룡시장은 6·25 때 황해도 연백군에서 교동도로 잠시 피난 온 주민들이 한강하구가 분단선이 되어 고향에 다시 돌아갈 수 없게 되자 생계를 유지하기 위해 고향에 있는 연백시장의 모습을 재현한 골목시장이다. 50여 년간 교동도 경제발전의 중심지였으며 지금은 시장을 만든 실향민 어르신 대부분이 돌아가시고 인구가 급격히 줄어들면서 시장의 규모도 상당히 줄었다. 그러나 2014년 7월 교동대교 개통과 함께 1960년대 영화세트장 같은 모습의 대룡시장을 카메라에 담기 위한 관광객들의 필수코스가 되었다. 지난 3월 말부터 교동기가아일랜드 (일명 ‘교동제비집’)이 운영되고 있는데 교동제비집은 관광객들에게 IT 기반의 관광안내는 물론 자전거, 스마트워치 대여 서비스를 제공하며 ‘VR 영상 체험’, ‘교동신문 만들기’ 등 다양한 체험 프로그램을 마련되어 있다.","=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
